customer_id,age,gender,marital_status,occupation,employer_type,education_level,state,city,city_tier,pincode_bucket,customer_since,tenure_years,customer_segment,income_group,monthly_income,salary_account_flag,risk_category,is_self_employed,is_government_employee,clv_score,clv_tier
CUST000053,56,M,married,salaried,self_employed,graduate,Haryana,Panipat,3,276000-276999,2018-12-27,7,mass,lower_mid,19004.67,1,medium,0,0,47.86,normal
CUST000054,35,F,married,self_employed,private,graduate,Andhra Pradesh,Guntur,3,192000-192999,2018-09-11,7,mass,lower_mid,29049.82,1,medium,1,0,57.43,normal
CUST000055,21,M,single,other,ngo,professional,Maharashtra,Solapur,3,627000-627999,2017-08-22,8,youth,low,11480.35,1,medium,0,0,74.94,elite
CUST000056,42,M,single,self_employed,private,post_graduate,Madhya Pradesh,Ujjain,3,530000-530999,2014-01-05,12,mass,lower_mid,24136.97,1,medium,1,0,75.34,elite
CUST000057,31,M,married,salaried,other,graduate,Rajasthan,Kota,3,484000-484999,2014-05-22,12,retail,mid,35134.16,0,high,0,0,33.06,normal
CUST000058,67,M,married,salaried,private,graduate,Maharashtra,Aurangabad,3,339000-339999,2019-03-04,7,mass,low,12291.27,0,medium,0,0,68.06,normal
CUST000059,75,M,married,other,ngo,high_school,West Bengal,Siliguri,3,711000-711999,2015-12-11,10,mass,low,6634.02,1,low,0,0,28.2,normal
CUST000060,26,M,single,salaried,private,graduate,Rajasthan,Jodhpur,3,684000-684999,2020-06-24,5,youth,mid,41383.66,1,low,0,0,42.14,normal
CUST000061,43,F,single,salaried,private,graduate,Odisha,Bhubaneswar,2,200000-200999,2025-11-26,0,mass,lower_mid,29842.85,1,low,0,0,33.97,normal
CUST000062,70,M,widowed,salaried,private,graduate,Assam,Silchar,3,722000-722999,2013-01-23,13,retail,mid,49199.99,0,low,0,0,57.89,normal
CUST000063,19,F,married,other,private,graduate,Uttar Pradesh,Kanpur,3,466000-466999,2019-03-03,7,youth,low,10569.5,1,low,0,0,56.29,normal
CUST000064,37,M,married,salaried,government,graduate,Rajasthan,Jaipur,2,178000-178999,2018-10-02,7,mass_affluent,upper_mid,121615.28,1,low,0,0,60.69,normal
CUST000065,45,M,married,salaried,private,graduate,Kerala,Thrissur,3,627000-627999,2012-09-25,13,mass,lower_mid,27642.78,1,low,0,0,74.83,elite
CUST000066,64,M,single,self_employed,private,graduate,Gujarat,Gandhinagar,3,272000-272999,2021-07-26,4,mass,low,12760.0,1,medium,1,0,20.09,normal
CUST000067,24,M,single,salaried,private,high_school,Rajasthan,Jaipur,2,242000-242999,2012-05-22,14,youth,mid,36871.44,0,medium,0,0,64.8,normal
CUST000068,61,M,married,retired,ngo,graduate,Uttar Pradesh,Kanpur,3,431000-431999,2023-02-16,3,mass,low,5321.0,1,low,0,0,57.8,normal
CUST000069,25,M,married,salaried,government,graduate,Odisha,Sambalpur,3,791000-791999,2011-07-18,14,youth,upper_mid,88390.77,1,low,0,0,39.4,normal
CUST000070,64,M,single,salaried,government,professional,Tamil Nadu,Coimbatore,2,543000-543999,2012-08-19,13,retail,mid,38032.23,1,medium,0,0,47.37,normal
CUST000071,52,M,divorced,retired,private,graduate,Maharashtra,Pune,1,310000-310999,2025-09-26,0,retail,mid,36329.49,0,medium,0,0,44.86,normal
CUST000072,31,M,married,other,self_employed,high_school,Haryana,Gurugram,1,313000-313999,2022-04-30,4,mass,low,14429.1,0,medium,0,0,52.06,normal
CUST000073,34,M,single,salaried,self_employed,graduate,Jharkhand,Jamshedpur,2,712000-712999,2012-12-07,13,mass_affluent,upper_mid,138873.09,1,low,0,0,42.8,normal
CUST000074,53,F,married,salaried,government,graduate,Tamil Nadu,Tirunelveli,3,581000-581999,2022-05-10,4,retail,mid,39440.34,0,low,0,0,34.34,normal
CUST000075,67,M,single,student,private,post_graduate,Andhra Pradesh,Tirupati,3,511000-511999,2017-10-16,8,mass,low,11554.39,0,low,0,0,31.71,normal
CUST000076,57,M,married,salaried,government,graduate,Tamil Nadu,Trichy,3,613000-613999,2024-02-27,2,mass,lower_mid,20934.48,1,medium,0,0,22.63,normal
CUST000077,21,F,married,other,private,post_graduate,Bihar,Darbhanga,3,634000-634999,2011-09-11,14,youth,mid,57436.43,0,medium,0,0,81.66,super_hni
CUST000078,19,F,married,other,self_employed,post_graduate,Bihar,Patna,2,135000-135999,2015-02-22,11,youth,mid,43765.56,0,medium,0,0,63.06,normal
CUST000079,23,F,married,salaried,government,post_graduate,Assam,Guwahati,2,256000-256999,2011-09-25,14,youth,low,7648.8,0,low,0,0,76.83,elite
CUST000080,71,M,married,other,private,professional,West Bengal,Durgapur,3,383000-383999,2014-09-13,11,retail,mid,37398.83,1,low,0,0,72.6,elite
CUST000081,59,M,married,salaried,government,professional,Madhya Pradesh,Indore,2,771000-771999,2025-05-25,1,mass_affluent,upper_mid,110523.13,0,low,0,0,45.94,normal
CUST000082,21,F,divorced,business,private,graduate,Uttar Pradesh,Meerut,3,206000-206999,2014-10-21,11,youth,mid,37882.25,1,medium,1,0,65.51,normal
CUST000083,71,F,single,salaried,private,graduate,Uttar Pradesh,Varanasi,3,644000-644999,2022-10-18,3,retail,mid,47537.58,0,low,0,0,25.54,normal
CUST000084,46,M,married,retired,private,high_school,West Bengal,Durgapur,3,570000-570999,2014-02-21,12,mass,low,13978.23,0,low,0,0,34.31,normal
CUST000085,35,M,married,business,private,high_school,Punjab,Patiala,3,500000-500999,2024-12-08,1,mass_affluent,upper_mid,95946.05,0,low,1,0,17.43,normal
CUST000086,43,F,married,business,ngo,below_10th,Bihar,Patna,2,599000-599999,2018-05-19,8,mass_affluent,upper_mid,79738.87,0,medium,1,0,61.2,normal
CUST000087,61,M,married,retired,private,professional,Tamil Nadu,Chennai,1,511000-511999,2011-12-26,14,mass,lower_mid,29963.06,0,high,0,0,57.31,normal
CUST000088,51,F,married,salaried,ngo,professional,Tamil Nadu,Salem,3,160000-160999,2015-07-20,10,mass_affluent,upper_mid,105857.37,1,medium,0,0,68.6,elite
CUST000089,27,M,married,salaried,government,high_school,Tamil Nadu,Trichy,3,243000-243999,2014-08-01,11,youth,low,5909.09,1,medium,0,0,71.63,elite
CUST000090,53,M,single,retired,self_employed,post_graduate,Odisha,Bhubaneswar,2,639000-639999,2018-03-19,8,retail,mid,31413.49,1,medium,0,0,28.66,normal
CUST000091,31,F,married,student,private,post_graduate,Kerala,Kochi,2,793000-793999,2014-03-02,12,mass,low,6096.49,1,low,0,0,67.66,normal
CUST000092,48,F,single,other,self_employed,high_school,Uttar Pradesh,Varanasi,3,235000-235999,2024-06-30,1,retail,mid,48823.38,0,high,0,0,31.03,normal
CUST000093,65,M,married,other,ngo,high_school,Delhi,Janakpuri,3,466000-466999,2024-10-07,1,mass,lower_mid,26881.19,1,high,0,0,33.37,normal
CUST000094,32,M,married,salaried,private,high_school,Tamil Nadu,Chennai,1,506000-506999,2023-07-16,2,retail,mid,42664.8,0,medium,0,0,7.89,normal
CUST000095,25,M,married,salaried,private,high_school,Punjab,Amritsar,2,355000-355999,2014-07-18,11,youth,lower_mid,15952.92,0,medium,0,0,73.11,elite
CUST000096,31,M,single,salaried,private,graduate,Punjab,Ludhiana,2,582000-582999,2015-10-24,10,mass_affluent,upper_mid,94345.74,0,medium,0,0,61.63,normal
CUST000097,40,M,married,business,private,graduate,Bihar,Muzaffarpur,3,376000-376999,2024-11-10,1,retail,mid,59883.64,0,low,1,0,65.0,normal
CUST000098,74,M,widowed,salaried,other,high_school,Rajasthan,Jodhpur,3,487000-487999,2023-07-20,2,mass,lower_mid,22936.72,1,low,0,0,54.31,normal
CUST000099,57,M,single,student,private,graduate,Delhi,Janakpuri,3,280000-280999,2013-11-13,12,mass,low,14710.78,1,medium,0,0,46.49,normal
CUST000100,38,F,married,salaried,private,post_graduate,Bihar,Patna,2,608000-608999,2022-06-13,3,mass_affluent,upper_mid,137470.17,1,medium,0,0,12.23,normal
CUST000101,33,M,single,salaried,self_employed,professional,Maharashtra,Nagpur,2,482000-482999,2017-01-06,9,retail,mid,30344.43,0,low,0,0,41.17,normal
CUST000102,62,F,single,salaried,self_employed,post_graduate,West Bengal,Kolkata,1,224000-224999,2025-02-28,1,retail,mid,51621.65,1,medium,0,0,51.86,normal
CUST000103,35,F,married,salaried,private,graduate,West Bengal,Kolkata,1,334000-334999,2019-05-07,7,mass_affluent,upper_mid,121353.93,0,medium,0,0,32.71,normal
CUST000104,64,F,single,self_employed,other,graduate,Odisha,Rourkela,2,201000-201999,2023-07-21,2,mass_affluent,upper_mid,108327.33,1,medium,1,0,16.43,normal
CUST000105,70,M,married,salaried,government,high_school,West Bengal,Siliguri,3,328000-328999,2024-03-22,2,mass,low,7668.25,0,medium,0,0,18.17,normal
CUST000106,41,M,married,salaried,self_employed,below_10th,Kerala,Thiruvananthapuram,2,534000-534999,2022-07-04,3,retail,mid,49228.85,0,low,0,0,52.66,normal
CUST000107,43,M,single,salaried,self_employed,graduate,Tamil Nadu,Coimbatore,2,459000-459999,2013-03-07,13,mass,low,6115.52,1,low,0,0,45.14,normal
CUST000108,42,F,single,student,private,post_graduate,Tamil Nadu,Coimbatore,2,334000-334999,2016-10-11,9,mass,lower_mid,21521.48,1,low,0,0,64.71,normal
CUST000109,62,M,married,student,other,post_graduate,Odisha,Berhampur,3,351000-351999,2020-08-01,5,mass,lower_mid,21805.86,1,low,0,0,25.03,normal
CUST000110,58,M,divorced,salaried,private,graduate,Uttar Pradesh,Varanasi,3,392000-392999,2025-08-16,0,mass_affluent,upper_mid,145843.43,1,medium,0,0,45.37,normal
CUST000111,46,M,widowed,student,self_employed,graduate,Maharashtra,Pune,1,294000-294999,2022-01-17,4,mass,lower_mid,28137.79,0,low,0,0,50.23,normal
CUST000112,32,M,married,salaried,self_employed,professional,Maharashtra,Nagpur,2,354000-354999,2013-09-10,12,retail,mid,37901.67,0,low,0,0,25.83,normal
CUST000113,62,M,married,salaried,government,professional,Maharashtra,Nagpur,2,134000-134999,2024-05-17,2,mass,lower_mid,22508.79,0,low,0,0,56.09,normal
CUST000114,18,M,married,self_employed,other,post_graduate,Karnataka,Mangalore,3,241000-241999,2015-03-02,11,youth,lower_mid,17679.78,0,medium,1,0,42.43,normal
CUST000115,42,M,married,salaried,government,graduate,Uttar Pradesh,Allahabad,3,311000-311999,2026-04-04,0,mass,low,14126.28,0,low,0,0,47.83,normal
CUST000116,24,F,divorced,student,other,graduate,Telangana,Warangal,3,356000-356999,2020-07-06,5,youth,lower_mid,28057.78,1,low,0,0,26.0,normal
CUST000117,26,F,married,salaried,government,post_graduate,Kerala,Kochi,2,670000-670999,2018-09-16,7,youth,mid,38953.34,1,low,0,0,54.74,normal
CUST000118,41,F,married,other,self_employed,graduate,West Bengal,Asansol,3,200000-200999,2016-12-25,9,mass_affluent,upper_mid,117505.45,1,low,0,0,47.31,normal
CUST000119,18,M,single,salaried,self_employed,post_graduate,Uttar Pradesh,Kanpur,3,160000-160999,2023-05-24,3,youth,upper_mid,114807.32,1,low,0,0,23.77,normal
CUST000120,61,M,married,self_employed,private,high_school,Madhya Pradesh,Ujjain,3,174000-174999,2023-11-05,2,mass_affluent,upper_mid,73755.53,1,low,1,0,46.17,normal
CUST000121,25,M,single,retired,government,high_school,Odisha,Rourkela,2,591000-591999,2023-12-05,2,youth,lower_mid,26437.66,0,medium,0,0,54.94,normal
CUST000122,41,M,married,salaried,government,below_10th,Karnataka,Mangalore,3,615000-615999,2015-12-27,10,mass,low,10393.79,0,low,0,0,66.34,normal
CUST000123,28,F,single,salaried,government,graduate,Maharashtra,Nashik,3,756000-756999,2021-10-31,4,youth,lower_mid,26679.4,1,medium,0,0,10.69,normal
CUST000124,68,M,married,salaried,ngo,graduate,Maharashtra,Pune,1,523000-523999,2024-03-15,2,retail,mid,45910.61,1,low,0,0,45.86,normal
CUST000125,34,M,single,self_employed,government,graduate,Maharashtra,Aurangabad,3,570000-570999,2025-05-01,1,mass,low,5005.72,0,low,1,0,52.43,normal
CUST000126,25,M,married,salaried,self_employed,graduate,West Bengal,Kolkata,1,520000-520999,2019-07-07,6,youth,low,8241.56,0,low,0,0,52.09,normal
CUST000127,52,M,married,salaried,private,graduate,Tamil Nadu,Trichy,3,304000-304999,2014-03-11,12,retail,mid,30584.3,1,medium,0,0,78.8,super_hni
CUST000128,52,F,married,self_employed,government,professional,Odisha,Cuttack,3,204000-204999,2019-09-06,6,mass_affluent,upper_mid,143618.88,1,high,1,0,52.66,normal
CUST000129,50,F,single,salaried,private,graduate,Uttar Pradesh,Allahabad,3,240000-240999,2025-02-07,1,mass_affluent,upper_mid,139084.97,0,medium,0,0,20.06,normal
CUST000130,22,O,married,self_employed,private,graduate,Uttar Pradesh,Lucknow,2,607000-607999,2025-01-09,1,youth,low,13316.66,0,low,1,0,16.23,normal
CUST000131,59,M,single,salaried,private,post_graduate,Delhi,Saket,3,248000-248999,2014-04-22,12,mass_affluent,upper_mid,87676.27,0,high,0,0,71.09,elite
CUST000132,56,M,married,salaried,private,below_10th,Punjab,Patiala,3,560000-560999,2023-10-16,2,retail,mid,31737.75,1,low,0,0,54.03,normal
CUST000133,75,M,married,self_employed,private,post_graduate,Tamil Nadu,Madurai,2,705000-705999,2011-08-02,14,retail,mid,56340.29,0,medium,1,0,74.34,elite
CUST000134,58,M,married,self_employed,private,high_school,Andhra Pradesh,Guntur,3,264000-264999,2015-02-19,11,mass,lower_mid,29204.24,1,low,1,0,67.37,normal
CUST000135,45,F,single,salaried,government,graduate,West Bengal,Kolkata,1,188000-188999,2017-08-10,8,retail,mid,32569.6,0,low,0,0,63.37,normal
CUST000136,24,M,married,salaried,private,post_graduate,Haryana,Faridabad,2,260000-260999,2021-10-16,4,youth,mid,44579.71,1,medium,0,0,66.77,normal
CUST000137,26,F,married,salaried,private,graduate,Kerala,Kozhikode,3,552000-552999,2016-07-07,9,youth,mid,32076.38,1,high,0,0,57.51,normal
CUST000138,25,M,married,salaried,government,post_graduate,Telangana,Khammam,3,734000-734999,2017-01-15,9,youth,lower_mid,26409.03,1,low,0,0,59.89,normal
CUST000139,29,M,single,salaried,private,below_10th,Maharashtra,Thane,2,226000-226999,2021-12-27,4,youth,upper_mid,128925.1,1,low,0,0,52.69,normal
CUST000140,51,M,single,salaried,private,high_school,Madhya Pradesh,Ujjain,3,326000-326999,2017-12-18,8,mass_affluent,upper_mid,71555.23,0,medium,0,0,37.74,normal
CUST000141,50,F,married,self_employed,private,high_school,Maharashtra,Solapur,3,241000-241999,2021-09-13,4,mass_affluent,upper_mid,102775.41,1,low,1,0,47.69,normal
CUST000142,65,M,married,self_employed,self_employed,professional,Karnataka,Belgaum,3,211000-211999,2021-02-04,5,mass,low,10498.04,1,medium,1,0,15.31,normal
CUST000143,72,F,married,salaried,government,post_graduate,Uttar Pradesh,Agra,3,745000-745999,2015-04-11,11,mass,lower_mid,18975.85,1,low,0,0,73.4,elite
CUST000144,40,M,single,salaried,government,graduate,Rajasthan,Jaipur,2,344000-344999,2025-01-11,1,mass,lower_mid,28086.5,0,high,0,0,5.49,normal
CUST000145,41,O,married,salaried,government,below_10th,Maharashtra,Thane,2,599000-599999,2023-10-20,2,retail,mid,42694.14,0,medium,0,0,13.69,normal
CUST000146,54,M,married,self_employed,self_employed,graduate,Gujarat,Gandhinagar,3,148000-148999,2012-08-02,13,mass_affluent,upper_mid,79061.84,0,high,1,0,71.14,elite
CUST000147,52,O,single,other,private,professional,Gujarat,Surat,2,173000-173999,2016-07-28,9,mass,low,10392.96,1,low,0,0,35.49,normal
CUST000148,61,M,married,business,private,graduate,Maharashtra,Thane,2,762000-762999,2020-02-10,6,elite,high,405475.87,0,low,1,0,68.17,normal
CUST000149,57,F,married,student,private,below_10th,Andhra Pradesh,Nellore,3,324000-324999,2017-09-07,8,mass,lower_mid,18017.27,0,low,0,0,17.14,normal
CUST000150,39,M,single,student,government,graduate,Uttar Pradesh,Kanpur,3,543000-543999,2012-06-14,13,mass,low,8117.16,0,low,0,0,45.51,normal
CUST000151,44,F,single,salaried,ngo,graduate,Maharashtra,Pune,1,417000-417999,2013-10-24,12,mass,lower_mid,29927.24,1,low,0,0,53.29,normal
CUST000152,52,M,single,salaried,government,high_school,Madhya Pradesh,Jabalpur,3,631000-631999,2011-11-02,14,mass,low,11498.78,1,low,0,0,39.17,normal
CUST000153,18,F,single,self_employed,self_employed,post_graduate,Rajasthan,Bikaner,3,688000-688999,2018-10-21,7,youth,mid,43143.0,0,high,1,0,53.94,normal
CUST000154,52,M,married,salaried,private,high_school,Maharashtra,Pune,1,618000-618999,2017-02-08,9,mass,low,10175.76,0,medium,0,0,74.0,elite
CUST000155,54,M,married,self_employed,ngo,high_school,West Bengal,Asansol,3,284000-284999,2022-03-10,4,retail,mid,33630.13,1,medium,1,0,31.63,normal
CUST000156,64,F,married,student,self_employed,below_10th,Bihar,Gaya,3,339000-339999,2017-04-25,9,mass,lower_mid,18370.46,0,medium,0,0,66.77,normal
CUST000157,31,F,married,student,self_employed,post_graduate,Haryana,Hisar,3,522000-522999,2014-10-22,11,mass,low,8380.86,0,medium,0,0,43.97,normal
CUST000158,20,M,married,salaried,ngo,graduate,Uttar Pradesh,Lucknow,2,468000-468999,2011-08-30,14,youth,low,10883.09,1,low,0,0,70.57,elite
CUST000159,18,F,single,salaried,government,graduate,Uttar Pradesh,Kanpur,3,205000-205999,2023-03-23,3,youth,mid,36903.44,0,medium,0,0,13.74,normal
CUST000160,22,F,married,self_employed,government,below_10th,Rajasthan,Ajmer,3,355000-355999,2026-01-10,0,youth,lower_mid,18303.26,0,medium,1,0,39.6,normal
CUST000161,43,F,divorced,student,self_employed,graduate,Gujarat,Ahmedabad,1,598000-598999,2020-07-29,5,mass,lower_mid,16064.9,0,high,0,0,27.49,normal
CUST000162,72,F,single,student,private,high_school,Maharashtra,Solapur,3,521000-521999,2025-07-30,0,mass,low,11311.03,0,low,0,0,33.8,normal
CUST000163,31,M,married,other,private,below_10th,Uttar Pradesh,Varanasi,3,577000-577999,2011-12-11,14,mass,low,7289.42,1,low,0,0,53.0,normal
CUST000164,56,F,single,salaried,private,below_10th,West Bengal,Howrah,3,298000-298999,2020-01-25,6,retail,mid,57162.6,0,high,0,0,63.37,normal
CUST000165,44,M,married,salaried,private,below_10th,Rajasthan,Udaipur,3,694000-694999,2024-06-30,1,mass_affluent,upper_mid,137367.19,1,low,0,0,19.49,normal
CUST000166,26,M,single,salaried,other,graduate,Uttar Pradesh,Meerut,3,208000-208999,2011-12-12,14,youth,low,5708.57,0,high,0,0,71.49,elite
CUST000167,32,M,married,salaried,private,high_school,West Bengal,Kolkata,1,635000-635999,2021-05-08,5,mass,lower_mid,18570.07,1,medium,0,0,11.89,normal
CUST000168,32,F,married,other,private,graduate,Maharashtra,Nagpur,2,607000-607999,2017-06-15,8,retail,mid,50069.33,1,low,0,0,17.83,normal
CUST000169,43,M,married,other,self_employed,below_10th,Tamil Nadu,Trichy,3,378000-378999,2012-05-18,14,mass,low,7142.37,1,low,0,0,75.46,elite
CUST000170,59,M,single,salaried,self_employed,graduate,Bihar,Muzaffarpur,3,677000-677999,2024-04-30,2,mass,low,6323.12,0,low,0,0,47.49,normal
